#
# CP932 : 398 non-round-trip mappings
# http://support.microsoft.com/default.aspx?scid=kb;ja;JP170559
#

0x8790	U+2252	0x81e0	#Approximately Equal To Or The Image Of
0xee64	U+7994	0xfb81	#CJK Unified Ideograph
0xee65	U+fa1b	0xfb82	#CJK compatibility Ideograph
0xee66	U+799b	0xfb83	#CJK Unified Ideograph
0xee67	U+7ad1	0xfb84	#CJK Unified Ideograph
0xee68	U+7ae7	0xfb85	#CJK Unified Ideograph
0xee69	U+fa1c	0xfb86	#CJK compatibility Ideograph
0xee6a	U+7aeb	0xfb87	#CJK Unified Ideograph
0xee6b	U+7b9e	0xfb88	#CJK Unified Ideograph
0xee6c	U+fa1d	0xfb89	#CJK compatibility Ideograph
0xee6d	U+7d48	0xfb8a	#CJK Unified Ideograph
0xee6e	U+7d5c	0xfb8b	#CJK Unified Ideograph
0xee6f	U+7db7	0xfb8c	#CJK Unified Ideograph
0xee70	U+7da0	0xfb8d	#CJK Unified Ideograph
0xee71	U+7dd6	0xfb8e	#CJK Unified Ideograph
0xee72	U+7e52	0xfb8f	#CJK Unified Ideograph
0xee73	U+7f47	0xfb90	#CJK Unified Ideograph
0xee74	U+7fa1	0xfb91	#CJK Unified Ideograph
0xee75	U+fa1e	0xfb92	#CJK compatibility Ideograph
0xee76	U+8301	0xfb93	#CJK Unified Ideograph
0xee77	U+8362	0xfb94	#CJK Unified Ideograph
0xee78	U+837f	0xfb95	#CJK Unified Ideograph
0xee79	U+83c7	0xfb96	#CJK Unified Ideograph
0xee7a	U+83f6	0xfb97	#CJK Unified Ideograph
0xee7b	U+8448	0xfb98	#CJK Unified Ideograph
0xee7c	U+84b4	0xfb99	#CJK Unified Ideograph
0xee7d	U+8553	0xfb9a	#CJK Unified Ideograph
0xee7e	U+8559	0xfb9b	#CJK Unified Ideograph
0xee80	U+856b	0xfb9c	#CJK Unified Ideograph
0xee81	U+fa1f	0xfb9d	#CJK compatibility Ideograph
0xee82	U+85b0	0xfb9e	#CJK Unified Ideograph
0xee83	U+fa20	0xfb9f	#CJK compatibility Ideograph
0xee84	U+fa21	0xfba0	#CJK compatibility Ideograph
0xee85	U+8807	0xfba1	#CJK Unified Ideograph
0xee86	U+88f5	0xfba2	#CJK Unified Ideograph
0xee87	U+8a12	0xfba3	#CJK Unified Ideograph
0xee88	U+8a37	0xfba4	#CJK Unified Ideograph
0xee89	U+8a79	0xfba5	#CJK Unified Ideograph
0xee8a	U+8aa7	0xfba6	#CJK Unified Ideograph
0xee8b	U+8abe	0xfba7	#CJK Unified Ideograph
0xee8c	U+8adf	0xfba8	#CJK Unified Ideograph
0xee8d	U+fa22	0xfba9	#CJK compatibility Ideograph
0xee8e	U+8af6	0xfbaa	#CJK Unified Ideograph
0xee8f	U+8b53	0xfbab	#CJK Unified Ideograph
0xee90	U+8b7f	0xfbac	#CJK Unified Ideograph
0xee91	U+8cf0	0xfbad	#CJK Unified Ideograph
0xee92	U+8cf4	0xfbae	#CJK Unified Ideograph
0xee93	U+8d12	0xfbaf	#CJK Unified Ideograph
0xee94	U+8d76	0xfbb0	#CJK Unified Ideograph
0xee95	U+fa23	0xfbb1	#CJK compatibility Ideograph
0xee96	U+8ecf	0xfbb2	#CJK Unified Ideograph
0xee97	U+fa24	0xfbb3	#CJK compatibility Ideograph
0xee98	U+fa25	0xfbb4	#CJK compatibility Ideograph
0xee99	U+9067	0xfbb5	#CJK Unified Ideograph
0xee9a	U+90de	0xfbb6	#CJK Unified Ideograph
0xee9b	U+fa26	0xfbb7	#CJK compatibility Ideograph
0xee9c	U+9115	0xfbb8	#CJK Unified Ideograph
0xee9d	U+9127	0xfbb9	#CJK Unified Ideograph
0xee9e	U+91da	0xfbba	#CJK Unified Ideograph
0xee9f	U+91d7	0xfbbb	#CJK Unified Ideograph
0xeea0	U+91de	0xfbbc	#CJK Unified Ideograph
0xeea1	U+91ed	0xfbbd	#CJK Unified Ideograph
0xeea2	U+91ee	0xfbbe	#CJK Unified Ideograph
0xeea3	U+91e4	0xfbbf	#CJK Unified Ideograph
0xeea4	U+91e5	0xfbc0	#CJK Unified Ideograph
0xeea5	U+9206	0xfbc1	#CJK Unified Ideograph
0xeea6	U+9210	0xfbc2	#CJK Unified Ideograph
0xeea7	U+920a	0xfbc3	#CJK Unified Ideograph
0xeea8	U+923a	0xfbc4	#CJK Unified Ideograph
0xeea9	U+9240	0xfbc5	#CJK Unified Ideograph
0xeeaa	U+923c	0xfbc6	#CJK Unified Ideograph
0xeeab	U+924e	0xfbc7	#CJK Unified Ideograph
0xeeac	U+9259	0xfbc8	#CJK Unified Ideograph
0xeead	U+9251	0xfbc9	#CJK Unified Ideograph
0xeeae	U+9239	0xfbca	#CJK Unified Ideograph
0xeeaf	U+9267	0xfbcb	#CJK Unified Ideograph
0xeeb0	U+92a7	0xfbcc	#CJK Unified Ideograph
0xeeb1	U+9277	0xfbcd	#CJK Unified Ideograph
0xeeb2	U+9278	0xfbce	#CJK Unified Ideograph
0xeeb3	U+92e7	0xfbcf	#CJK Unified Ideograph
0xeeb4	U+92d7	0xfbd0	#CJK Unified Ideograph
0xeeb5	U+92d9	0xfbd1	#CJK Unified Ideograph
0xeeb6	U+92d0	0xfbd2	#CJK Unified Ideograph
0xeeb7	U+fa27	0xfbd3	#CJK compatibility Ideograph
0xeeb8	U+92d5	0xfbd4	#CJK Unified Ideograph
0xeeb9	U+92e0	0xfbd5	#CJK Unified Ideograph
0xeeba	U+92d3	0xfbd6	#CJK Unified Ideograph
0xeebb	U+9325	0xfbd7	#CJK Unified Ideograph
0xeebc	U+9321	0xfbd8	#CJK Unified Ideograph
0xeebd	U+92fb	0xfbd9	#CJK Unified Ideograph
0xeebe	U+fa28	0xfbda	#CJK compatibility Ideograph
0xeebf	U+931e	0xfbdb	#CJK Unified Ideograph
0xeec0	U+92ff	0xfbdc	#CJK Unified Ideograph
0xeec1	U+931d	0xfbdd	#CJK Unified Ideograph
0xeec2	U+9302	0xfbde	#CJK Unified Ideograph
0xeec3	U+9370	0xfbdf	#CJK Unified Ideograph
0xeec4	U+9357	0xfbe0	#CJK Unified Ideograph
0xeec5	U+93a4	0xfbe1	#CJK Unified Ideograph
0xeec6	U+93c6	0xfbe2	#CJK Unified Ideograph
0xeec7	U+93de	0xfbe3	#CJK Unified Ideograph
0xeec8	U+93f8	0xfbe4	#CJK Unified Ideograph
0xeec9	U+9431	0xfbe5	#CJK Unified Ideograph
0xeeca	U+9445	0xfbe6	#CJK Unified Ideograph
0xeecb	U+9448	0xfbe7	#CJK Unified Ideograph
0xeecc	U+9592	0xfbe8	#CJK Unified Ideograph
0xeecd	U+f9dc	0xfbe9	#CJK compatibility Ideograph
0xeece	U+fa29	0xfbea	#CJK compatibility Ideograph
0xeecf	U+969d	0xfbeb	#CJK Unified Ideograph
0xeed0	U+96af	0xfbec	#CJK Unified Ideograph
0xeed1	U+9733	0xfbed	#CJK Unified Ideograph
0xeed2	U+973b	0xfbee	#CJK Unified Ideograph
0xeed3	U+9743	0xfbef	#CJK Unified Ideograph
0xeed4	U+974d	0xfbf0	#CJK Unified Ideograph
0xeed5	U+974f	0xfbf1	#CJK Unified Ideograph
0xeed6	U+9751	0xfbf2	#CJK Unified Ideograph
0xeed7	U+9755	0xfbf3	#CJK Unified Ideograph
0xeed8	U+9857	0xfbf4	#CJK Unified Ideograph
0xeed9	U+9865	0xfbf5	#CJK Unified Ideograph
0xeeda	U+fa2a	0xfbf6	#CJK compatibility Ideograph
0xeedb	U+fa2b	0xfbf7	#CJK compatibility Ideograph
0xeedc	U+9927	0xfbf8	#CJK Unified Ideograph
0xeedd	U+fa2c	0xfbf9	#CJK compatibility Ideograph
0xeede	U+999e	0xfbfa	#CJK Unified Ideograph
0xeedf	U+9a4e	0xfbfb	#CJK Unified Ideograph
0xeee0	U+9ad9	0xfbfc	#CJK Unified Ideograph
0xeee1	U+9adc	0xfc40	#CJK Unified Ideograph
0xeee2	U+9b75	0xfc41	#CJK Unified Ideograph
0xeee3	U+9b72	0xfc42	#CJK Unified Ideograph
0xeee4	U+9b8f	0xfc43	#CJK Unified Ideograph
0xeee5	U+9bb1	0xfc44	#CJK Unified Ideograph
0xeee6	U+9bbb	0xfc45	#CJK Unified Ideograph
0xeee7	U+9c00	0xfc46	#CJK Unified Ideograph
0xeee8	U+9d70	0xfc47	#CJK Unified Ideograph
0xeee9	U+9d6b	0xfc48	#CJK Unified Ideograph
0xeeea	U+fa2d	0xfc49	#CJK compatibility Ideograph
0xeeeb	U+9e19	0xfc4a	#CJK Unified Ideograph
0xeeec	U+9ed1	0xfc4b	#CJK Unified Ideograph
0xeeef	U+2170	0xfa40	#Small Roman Numeral One
0xeef0	U+2171	0xfa41	#Small Roman Numeral Two
0xeef1	U+2172	0xfa42	#Small Roman Numeral Three
0xeef2	U+2173	0xfa43	#Small Roman Numeral Four
0xeef3	U+2174	0xfa44	#Small Roman Numeral Five
0xeef4	U+2175	0xfa45	#Small Roman Numeral Six
0xeef5	U+2176	0xfa46	#Small Roman Numeral Seven
0xeef6	U+2177	0xfa47	#Small Roman Numeral Eight
0xeef7	U+2178	0xfa48	#Small Roman Numeral Nine
0xeef8	U+2179	0xfa49	#Small Roman Numeral Ten
0xeef9	U+ffe2	0x81ca	#Fullwidth Not Sign
0xeefa	U+ffe4	0xfa55	#Fullwidth Broken Bar
0xeefb	U+ff07	0xfa56	#Fullwidth Apostrophe
0xeefc	U+ff02	0xfa57	#Fullwidth Quotation Mark
0xfa4a	U+2160	0x8754	#Roman Numeral One
0xfa4b	U+2161	0x8755	#Roman Numeral Two
0xfa4c	U+2162	0x8756	#Roman Numeral Three
0xfa4d	U+2163	0x8757	#Roman Numeral Four
0xfa4e	U+2164	0x8758	#Roman Numeral Five
0xfa4f	U+2165	0x8759	#Roman Numeral Six
0xfa50	U+2166	0x875a	#Roman Numeral Seven
0xfa51	U+2167	0x875b	#Roman Numeral Eight
0xfa52	U+2168	0x875c	#Roman Numeral Nine
0xfa53	U+2169	0x875d	#Roman Numeral Ten
0xfa54	U+ffe2	0x81ca	#Fullwidth Not Sign
0xfa58	U+3231	0x878a	#Parenthesized Ideograph Stock
0xfa59	U+2116	0x8782	#Numero Sign
0xfa5a	U+2121	0x8784	#Telephone Sign
0xfa5b	U+2235	0x81e6	#Because
